ride_id,train_name,origin_station,destination_station,departure_time_origin,day_of_week,hour_of_day,delay_at_dest
-1028270319216920413-2504121732,ICE 1695,Nürnberg Hbf,Augsburg Hbf,2025-04-12 17:32:00,5,17,8
-1028270319216920413-2504121732,ICE 1695,Nürnberg Hbf,München Hbf,2025-04-12 17:32:00,5,17,12
-1028270319216920413-2504121732,ICE 1695,Augsburg Hbf,München Hbf,2025-04-12 18:48:00,5,18,12
-1028270319216920413-2504131732,ICE 1695,Nürnberg Hbf,Augsburg Hbf,2025-04-13 17:32:00,6,17,2
-1028270319216920413-2504131732,ICE 1695,Nürnberg Hbf,München Hbf,2025-04-13 17:32:00,6,17,-1
-1028270319216920413-2504131732,ICE 1695,Augsburg Hbf,München Hbf,2025-04-13 18:48:00,6,18,-1
-1028270319216920413-2504141732,ICE 1695,Nürnberg Hbf,Augsburg Hbf,2025-04-14 17:32:00,0,17,0
-1028270319216920413-2504141732,ICE 1695,Nürnberg Hbf,München Hbf,2025-04-14 17:32:00,0,17,0
-1028270319216920413-2504141732,ICE 1695,Augsburg Hbf,München Hbf,2025-04-14 18:48:00,0,18,0
-1028270319216920413-2504151732,ICE 1695,Nürnberg Hbf,Augsburg Hbf,2025-04-15 17:32:00,1,17,20
-1028270319216920413-2504151732,ICE 1695,Nürnberg Hbf,München Hbf,2025-04-15 17:32:00,1,17,18
-1028270319216920413-2504151732,ICE 1695,Augsburg Hbf,München Hbf,2025-04-15 18:48:00,1,18,18
-1028270319216920413-2504161732,ICE 1695,Nürnberg Hbf,Augsburg Hbf,2025-04-16 17:32:00,2,17,0
-1028270319216920413-2504161732,ICE 1695,Nürnberg Hbf,München Hbf,2025-04-16 17:32:00,2,17,0
-1028270319216920413-2504161732,ICE 1695,Augsburg Hbf,München Hbf,2025-04-16 18:48:00,2,18,0
-1028270319216920413-2504171732,ICE 1695,Nürnberg Hbf,Augsburg Hbf,2025-04-17 17:32:00,3,17,4
-1028270319216920413-2504171732,ICE 1695,Nürnberg Hbf,München Hbf,2025-04-17 17:32:00,3,17,4
-1028270319216920413-2504171732,ICE 1695,Augsburg Hbf,München Hbf,2025-04-17 18:48:00,3,18,4
-1028270319216920413-2504181732,ICE 1695,Nürnberg Hbf,Augsburg Hbf,2025-04-18 17:32:00,4,17,9
-1028270319216920413-2504181732,ICE 1695,Nürnberg Hbf,München Hbf,2025-04-18 17:32:00,4,17,7
-1028270319216920413-2504181732,ICE 1695,Augsburg Hbf,München Hbf,2025-04-18 18:48:00,4,18,7
-1028270319216920413-2504191732,ICE 1695,Nürnberg Hbf,Augsburg Hbf,2025-04-19 17:32:00,5,17,0
-1028270319216920413-2504191732,ICE 1695,Nürnberg Hbf,München Hbf,2025-04-19 17:32:00,5,17,0
