ride_id,train_name,station,destination_station,departure_time_origin,day_of_week,hour_of_day,delay_at_dest,time_hour,time,temp_celsius,humidity,wind_speed,weather,rain_amount,snow_amount
-1028270319216920413-2504121732,ICE 1695,Nürnberg Hbf,Augsburg Hbf,2025-04-12 17:32:00,5,17,8,2025-04-12 17:00:00,2025-04-12 17:00:00,21.11,32.0,3.6,clear sky,0.0,0.0
-1028270319216920413-2504121732,ICE 1695,Nürnberg Hbf,München Hbf,2025-04-12 17:32:00,5,17,12,2025-04-12 17:00:00,2025-04-12 17:00:00,21.11,32.0,3.6,clear sky,0.0,0.0
-1028270319216920413-2504121732,ICE 1695,Augsburg Hbf,München Hbf,2025-04-12 18:48:00,5,18,12,2025-04-12 18:00:00,2025-04-12 18:00:00,19.83,34.0,2.57,clear sky,0.0,0.0
-1028270319216920413-2504131732,ICE 1695,Nürnberg Hbf,Augsburg Hbf,2025-04-13 17:32:00,6,17,2,2025-04-13 17:00:00,2025-04-13 17:00:00,18.85,55.0,2.57,scattered clouds,0.0,0.0
-1028270319216920413-2504131732,ICE 1695,Nürnberg Hbf,München Hbf,2025-04-13 17:32:00,6,17,-1,2025-04-13 17:00:00,2025-04-13 17:00:00,18.85,55.0,2.57,scattered clouds,0.0,0.0
-1028270319216920413-2504131732,ICE 1695,Augsburg Hbf,München Hbf,2025-04-13 18:48:00,6,18,-1,2025-04-13 18:00:00,2025-04-13 18:00:00,16.82,59.0,3.6,clear sky,0.0,0.0
-1028270319216920413-2504141732,ICE 1695,Nürnberg Hbf,Augsburg Hbf,2025-04-14 17:32:00,0,17,0,2025-04-14 17:00:00,2025-04-14 17:00:00,19.0,55.0,1.54,few clouds,0.0,0.0
-1028270319216920413-2504141732,ICE 1695,Nürnberg Hbf,München Hbf,2025-04-14 17:32:00,0,17,0,2025-04-14 17:00:00,2025-04-14 17:00:00,19.0,55.0,1.54,few clouds,0.0,0.0
-1028270319216920413-2504141732,ICE 1695,Augsburg Hbf,München Hbf,2025-04-14 18:48:00,0,18,0,2025-04-14 18:00:00,2025-04-14 18:00:00,17.91,59.0,3.09,few clouds,0.0,0.0
-1028270319216920413-2504151732,ICE 1695,Nürnberg Hbf,Augsburg Hbf,2025-04-15 17:32:00,1,17,20,2025-04-15 17:00:00,2025-04-15 17:00:00,17.01,68.0,5.14,light intensity shower rain,3.16,0.0
-1028270319216920413-2504151732,ICE 1695,Nürnberg Hbf,München Hbf,2025-04-15 17:32:00,1,17,18,2025-04-15 17:00:00,2025-04-15 17:00:00,17.01,68.0,5.14,light intensity shower rain,3.16,0.0
-1028270319216920413-2504151732,ICE 1695,Augsburg Hbf,München Hbf,2025-04-15 18:48:00,1,18,18,2025-04-15 18:00:00,2025-04-15 18:00:00,19.82,56.0,2.57,scattered clouds,0.0,0.0
-1028270319216920413-2504161732,ICE 1695,Nürnberg Hbf,Augsburg Hbf,2025-04-16 17:32:00,2,17,0,2025-04-16 17:00:00,2025-04-16 17:00:00,25.05,29.0,6.17,clear sky,0.0,0.0
-1028270319216920413-2504161732,ICE 1695,Nürnberg Hbf,München Hbf,2025-04-16 17:32:00,2,17,0,2025-04-16 17:00:00,2025-04-16 17:00:00,25.05,29.0,6.17,clear sky,0.0,0.0
-1028270319216920413-2504161732,ICE 1695,Augsburg Hbf,München Hbf,2025-04-16 18:48:00,2,18,0,2025-04-16 18:00:00,2025-04-16 18:00:00,22.82,31.0,5.66,clear sky,0.0,0.0
-1028270319216920413-2504171732,ICE 1695,Nürnberg Hbf,Augsburg Hbf,2025-04-17 17:32:00,3,17,4,2025-04-17 17:00:00,2025-04-17 17:00:00,17.87,65.0,4.63,clear sky,0.0,0.0
-1028270319216920413-2504171732,ICE 1695,Nürnberg Hbf,München Hbf,2025-04-17 17:32:00,3,17,4,2025-04-17 17:00:00,2025-04-17 17:00:00,17.87,65.0,4.63,clear sky,0.0,0.0
-1028270319216920413-2504171732,ICE 1695,Augsburg Hbf,München Hbf,2025-04-17 18:48:00,3,18,4,2025-04-17 18:00:00,2025-04-17 18:00:00,11.78,76.0,6.17,overcast clouds,0.0,0.0
-1028270319216920413-2504181732,ICE 1695,Nürnberg Hbf,Augsburg Hbf,2025-04-18 17:32:00,4,17,9,2025-04-18 17:00:00,2025-04-18 17:00:00,8.98,79.0,4.63,light rain,0.15,0.0
-1028270319216920413-2504181732,ICE 1695,Nürnberg Hbf,München Hbf,2025-04-18 17:32:00,4,17,7,2025-04-18 17:00:00,2025-04-18 17:00:00,8.98,79.0,4.63,light rain,0.15,0.0
-1028270319216920413-2504181732,ICE 1695,Augsburg Hbf,München Hbf,2025-04-18 18:48:00,4,18,7,2025-04-18 18:00:00,2025-04-18 18:00:00,8.96,71.0,2.06,overcast clouds,0.0,0.0
-1028270319216920413-2504191732,ICE 1695,Nürnberg Hbf,Augsburg Hbf,2025-04-19 17:32:00,5,17,0,2025-04-19 17:00:00,2025-04-19 17:00:00,18.02,47.0,1.54,clear sky,0.0,0.0
-1028270319216920413-2504191732,ICE 1695,Nürnberg Hbf,München Hbf,2025-04-19 17:32:00,5,17,0,2025-04-19 17:00:00,2025-04-19 17:00:00,18.02,47.0,1.54,clear sky,0.0,0.0
-1028270319216920413-2504191732,ICE 1695,Augsburg Hbf,München Hbf,2025-04-19 18:48:00,5,18,0,2025-04-19 18:00:00,2025-04-19 18:00:00,18.91,39.0,2.57,clear sky,0.0,0.0
-1028270319216920413-2504201732,ICE 1695,Nürnberg Hbf,Augsburg Hbf,2025-04-20 17:32:00,6,17,0,2025-04-20 17:00:00,2025-04-20 17:00:00,20.99,49.0,6.69,clear sky,0.0,0.0
-1028270319216920413-2504201732,ICE 1695,Nürnberg Hbf,München Hbf,2025-04-20 17:32:00,6,17,0,2025-04-20 17:00:00,2025-04-20 17:00:00,20.99,49.0,6.69,clear sky,0.0,0.0
-1028270319216920413-2504201732,ICE 1695,Augsburg Hbf,München Hbf,2025-04-20 18:48:00,6,18,0,2025-04-20 18:00:00,2025-04-20 18:00:00,14.77,58.0,10.8,clear sky,0.0,0.0
-1028270319216920413-2504211732,ICE 1695,Nürnberg Hbf,Augsburg Hbf,2025-04-21 17:32:00,0,17,0,2025-04-21 17:00:00,2025-04-21 17:00:00,18.99,37.0,2.06,clear sky,0.0,0.0
-1028270319216920413-2504211732,ICE 1695,Nürnberg Hbf,München Hbf,2025-04-21 17:32:00,0,17,0,2025-04-21 17:00:00,2025-04-21 17:00:00,18.99,37.0,2.06,clear sky,0.0,0.0
-1028270319216920413-2504211732,ICE 1695,Augsburg Hbf,München Hbf,2025-04-21 18:48:00,0,18,0,2025-04-21 18:00:00,2025-04-21 18:00:00,15.82,51.0,2.06,few clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Frankfurt(Main)Hbf,Kassel-Wilhelmshöhe,2025-04-18 07:40:00,4,7,14,2025-04-18 07:00:00,2025-04-18 07:00:00,8.12,90.0,4.12,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Frankfurt(Main)Hbf,Göttingen,2025-04-18 07:40:00,4,7,13,2025-04-18 07:00:00,2025-04-18 07:00:00,8.12,90.0,4.12,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Frankfurt(Main)Hbf,Hildesheim Hbf,2025-04-18 07:40:00,4,7,12,2025-04-18 07:00:00,2025-04-18 07:00:00,8.12,90.0,4.12,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Frankfurt(Main)Hbf,Braunschweig Hbf,2025-04-18 07:40:00,4,7,10,2025-04-18 07:00:00,2025-04-18 07:00:00,8.12,90.0,4.12,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Frankfurt(Main)Hbf,Wolfsburg Hbf,2025-04-18 07:40:00,4,7,9,2025-04-18 07:00:00,2025-04-18 07:00:00,8.12,90.0,4.12,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Frankfurt(Main)Hbf,Berlin-Spandau,2025-04-18 07:40:00,4,7,19,2025-04-18 07:00:00,2025-04-18 07:00:00,8.12,90.0,4.12,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Frankfurt(Main)Hbf,Berlin Hbf,2025-04-18 07:40:00,4,7,18,2025-04-18 07:00:00,2025-04-18 07:00:00,8.12,90.0,4.12,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Frankfurt(Main)Hbf,Berlin Südkreuz,2025-04-18 07:40:00,4,7,16,2025-04-18 07:00:00,2025-04-18 07:00:00,8.12,90.0,4.12,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Kassel-Wilhelmshöhe,Göttingen,2025-04-18 09:49:00,4,9,13,2025-04-18 09:00:00,2025-04-18 09:00:00,6.72,93.0,5.66,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Kassel-Wilhelmshöhe,Hildesheim Hbf,2025-04-18 09:49:00,4,9,12,2025-04-18 09:00:00,2025-04-18 09:00:00,6.72,93.0,5.66,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Kassel-Wilhelmshöhe,Braunschweig Hbf,2025-04-18 09:49:00,4,9,10,2025-04-18 09:00:00,2025-04-18 09:00:00,6.72,93.0,5.66,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Kassel-Wilhelmshöhe,Wolfsburg Hbf,2025-04-18 09:49:00,4,9,9,2025-04-18 09:00:00,2025-04-18 09:00:00,6.72,93.0,5.66,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Kassel-Wilhelmshöhe,Berlin-Spandau,2025-04-18 09:49:00,4,9,19,2025-04-18 09:00:00,2025-04-18 09:00:00,6.72,93.0,5.66,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Kassel-Wilhelmshöhe,Berlin Hbf,2025-04-18 09:49:00,4,9,18,2025-04-18 09:00:00,2025-04-18 09:00:00,6.72,93.0,5.66,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Kassel-Wilhelmshöhe,Berlin Südkreuz,2025-04-18 09:49:00,4,9,16,2025-04-18 09:00:00,2025-04-18 09:00:00,6.72,93.0,5.66,overcast clouds,0.0,0.0
