station,time,temp_celsius,humidity,wind_speed,weather,rain_amount,snow_amount
Berlin Gesundbrunnen,2025-01-01 00:00:00,4.36,93,11.09,overcast clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-01 01:00:00,4.84,81,11.53,overcast clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-01 02:00:00,5.45,83,11.7,light rain,0.42,0.0
Berlin Gesundbrunnen,2025-01-01 03:00:00,5.42,84,11.82,moderate rain,1.33,0.0
Berlin Gesundbrunnen,2025-01-01 04:00:00,5.92,84,11.61,moderate rain,2.37,0.0
Berlin Gesundbrunnen,2025-01-01 05:00:00,6.53,86,11.95,light rain,0.13,0.0
Berlin Gesundbrunnen,2025-01-01 06:00:00,6.59,87,12.8,light rain,0.52,0.0
Berlin Gesundbrunnen,2025-01-01 07:00:00,7.21,86,12.91,light rain,0.73,0.0
Berlin Gesundbrunnen,2025-01-01 08:00:00,7.0,85,13.43,light rain,0.6,0.0
Berlin Gesundbrunnen,2025-01-01 09:00:00,7.56,83,13.76,light rain,0.18,0.0
Berlin Gesundbrunnen,2025-01-01 10:00:00,7.61,83,13.64,moderate rain,1.26,0.0
Berlin Gesundbrunnen,2025-01-01 11:00:00,7.61,81,13.55,light rain,0.65,0.0
Berlin Gesundbrunnen,2025-01-01 12:00:00,7.61,81,13.63,moderate rain,1.09,0.0
Berlin Gesundbrunnen,2025-01-01 13:00:00,7.62,83,13.66,moderate rain,1.15,0.0
Berlin Gesundbrunnen,2025-01-01 14:00:00,7.2,84,13.77,moderate rain,1.54,0.0
Berlin Gesundbrunnen,2025-01-01 15:00:00,7.15,85,13.98,moderate rain,1.63,0.0
Berlin Gesundbrunnen,2025-01-01 16:00:00,7.27,86,13.85,moderate rain,1.94,0.0
Berlin Gesundbrunnen,2025-01-01 17:00:00,7.61,84,13.96,moderate rain,1.2,0.0
Berlin Gesundbrunnen,2025-01-01 18:00:00,7.57,84,13.34,moderate rain,1.26,0.0
Berlin Gesundbrunnen,2025-01-01 19:00:00,6.83,90,10.64,light rain,0.87,0.0
Berlin Gesundbrunnen,2025-01-01 20:00:00,5.74,86,8.42,moderate rain,3.76,0.0
Berlin Gesundbrunnen,2025-01-01 21:00:00,5.08,87,8.77,moderate rain,1.94,0.0
Berlin Gesundbrunnen,2025-01-01 22:00:00,5.41,86,9.32,moderate rain,1.46,0.0
Berlin Gesundbrunnen,2025-01-01 23:00:00,5.15,87,9.37,light rain,0.6,0.0
Berlin Gesundbrunnen,2025-01-02 00:00:00,5.45,89,10.09,moderate rain,1.26,0.0
Berlin Gesundbrunnen,2025-01-02 01:00:00,5.41,88,10.72,moderate rain,2.69,0.0
Berlin Gesundbrunnen,2025-01-02 02:00:00,4.65,92,7.2,heavy intensity rain,13.32,0.0
Berlin Gesundbrunnen,2025-01-02 03:00:00,3.67,68,7.0,moderate rain,1.33,0.0
Berlin Gesundbrunnen,2025-01-02 04:00:00,3.24,66,8.17,overcast clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-02 05:00:00,2.87,64,7.19,broken clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-02 06:00:00,2.2,69,7.62,broken clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-02 07:00:00,1.42,73,7.05,broken clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-02 08:00:00,1.48,76,5.34,clear sky,0.0,0.0
Berlin Gesundbrunnen,2025-01-02 09:00:00,1.45,78,4.8,clear sky,0.0,0.0
Berlin Gesundbrunnen,2025-01-02 10:00:00,2.09,76,5.54,clear sky,0.0,0.0
Berlin Gesundbrunnen,2025-01-02 11:00:00,2.59,74,5.43,clear sky,0.0,0.0
Berlin Gesundbrunnen,2025-01-02 12:00:00,3.5,73,5.39,few clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-02 13:00:00,3.66,75,4.0,broken clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-02 14:00:00,3.93,76,3.58,broken clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-02 15:00:00,3.57,78,3.21,broken clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-02 16:00:00,2.78,82,3.25,overcast clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-02 17:00:00,1.97,86,4.0,overcast clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-02 18:00:00,1.66,85,4.68,overcast clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-02 19:00:00,1.32,85,5.26,broken clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-02 20:00:00,1.05,85,4.93,snow,0.0,0.82
Berlin Gesundbrunnen,2025-01-02 21:00:00,1.06,83,5.05,overcast clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-02 22:00:00,0.79,84,4.25,overcast clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-02 23:00:00,0.75,86,3.96,overcast clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-03 00:00:00,0.72,85,3.97,overcast clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-03 01:00:00,0.73,87,4.04,overcast clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-03 02:00:00,0.76,85,4.25,overcast clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-03 03:00:00,0.34,82,4.53,overcast clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-03 04:00:00,0.38,79,5.21,overcast clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-03 05:00:00,0.35,77,6.0,overcast clouds,0.0,0.0
Berlin Gesundbrunnen,2025-01-03 06:00:00,0.35,75,6.68,snow,0.0,2.43
Berlin Gesundbrunnen,2025-01-03 07:00:00,0.38,82,6.66,snow,0.0,0.81
Berlin Gesundbrunnen,2025-01-03 08:00:00,0.38,73,8.24,snow,0.0,2.02
Berlin Gesundbrunnen,2025-01-03 09:00:00,0.51,74,8.79,snow,0.0,0.67
Berlin Gesundbrunnen,2025-01-03 10:00:00,0.47,78,10.12,snow,0.0,4.1
Berlin Gesundbrunnen,2025-01-03 11:00:00,0.13,89,6.31,light snow,0.0,0.22
